sentence_en,sentence_xx,language
"As soon as the state government will approve the Ayushman Bharat Yojana and the PM Kisan Samman Nidhi, the people here will get the benefits I do not know whether the state government will approve or not, but if it approves, then people here will also get the benefit of these schemes.","ଯେମିତି ରାଜ୍ୟ ସରକାର ଆୟୁଷ୍ମାନ ଭାରତ ଯୋଜନା, ପ୍ରଧାନମନ୍ତ୍ରୀ କିଷାନ ସମ୍ମାନ ନିଧି ପାଇଁ ସ୍ୱୀକୃତି ଦେବେ, ମୁଁ ଜାଣେନା ଯେ ଦେବେ କିମ୍ବା ନାହିଁ, କିନ୍ତୁ ଯଦି ଦିଅନ୍ତି ତା’ହେଲେ ଏଠାକାର ଲୋକମାନେ ସେହିସବୁ ଯୋଜନାରୁ ଢ଼େର୍ ସୁବିଧା ଓ ଲାଭ ପାରିପାରିବେ ।",or
I am glad that today another event is connecting these two great personalities.,ମୁଁ ଅତ୍ୟନ୍ତ ଖୁସି ଯେ ଏହି ମହାନାୟକଙ୍କୁ ଆଜି ଆଉ ଏକ ଅଧ୍ୟାୟ ସହ ଯୋଡାଗଲା ।,or
Police said that a person has been arrested in connection with the case .,ପୁଲିସ ଏହି ଘଟଣାରେ ଜଣକୁ ଅଟକ ରଖିଥିବା ସୂଚନା ମିଳିଛି ।,or
External Affairs...,ବୈଦେଶିକ ବ୍ୟାପାର .,or
Traffic was also disrupted at several places.,ଏପରିକି ବିଭିନ୍ନ ସ୍ଥାନରେ ଗାଡି ଚଳାଚଳ ସମ୍ବର୍ଣ୍ଣ ଠପ ହୋଇଯାଇଛି ।,or
His father's name is Deepak Sawant and his mother's name is Vaishali Sawant.,ତାଙ୍କ ମାଆ ଙ୍କ ନାମା ସ୍ୱାର୍ଗତ ବେଳାମଣୀ ସାହୁ ଏବଂ ପିତାଙ୍କ ନାମ ସ୍ୱାର୍ଗତ ଦନେଇ ସାହୁ ।,or
BJP MP Om Birla elected Lok Sabha speaker,ବିଜେପି ସାଂସଦ ଓମ ବିର୍ଲା ଲୋକସଭାର ନୂଆ ବାଚସ୍ପତି ହେବେ ।,or
"The children of Senaah, three thousand nine hundred and thirty.","ସନାଯ ସହରରୁ , ଜଣ।",or
The incident took place at the Jaunpur district hospital.,ଆନନ୍ଦପୁର ଉପଖଣ୍ତ ଚିକିତ୍ସାଳୟରେ ଏଭଳି ଅଘଟଣ ଘଟିଛି।,or
The car caught fire after the crash.,ଦୁର୍ଘଟଣା ପରେ ଜଳିଗଲା ଗାଡ଼ି,or
It is yet to be known whether the child was alive or dead when abandoned.,ଏହି ଶିଶୁଟି ଜୀବିତ ଥିଲା କି ମାରି ଯାଇଥିଲା ତାହା ଏଯାବତ୍‌ ସ୍ପଷ୍ଟ ହୋଇପାରି ନାହିଁ।,or
It is better for our health.,ଯାହା ଆମ ସ୍ୱାସ୍ଥ୍ୟ ପାଇଁ ଉପକାରୀ ଅଟେ ।,or
Preparation for it has been started.,ଏଥିପାଇଁ ପ୍ରସ୍ତୁତି ଶେଷ ହୋଇଛି।,or
The Minister of Petroleum & Natural Gas Dharmendra Pradhan was also present at the event.,ଉଭୟ କାର୍ଯ୍ୟକ୍ରମରେ କେନ୍ଦ୍ର ପେଟ୍ରୋଲିୟମ୍‌ ଓ ପ୍ରାକୃତିକ ଗ୍ୟାସ୍‌ ମନ୍ତ୍ରୀ ଧର୍ମେନ୍ଦ୍ର ପ୍ରଧାନ ଉପସ୍ଥିତ ଥିଲେ।,or
"Prime Minister's Office Telephone Conversation between PM and Sultan of Oman Prime Minister Shri Narendra Modi spoke on telephone today with His Majesty Haitham bin Tarik, Sultan of Oman.",ପ୍ରଧାନମନ୍ତ୍ରୀଙ୍କ କାର୍ଯ୍ୟାଳୟ ଓମାନ ସୁଲତାନଙ୍କ ସହ ପ୍ରଧାନମନ୍ତ୍ରୀଙ୍କ ଟେଲିଫୋନ ବାର୍ତ୍ତାଳାପ ପ୍ରଧାନମନ୍ତ୍ରୀ ଶ୍ରୀ ନରେନ୍ଦ୍ର ମୋଦୀ ଆଜି ଓମାନ ସୁଲତାନ ମହାମହିମ ହାଇଥାମ ବିନ ତାରିକଙ୍କ ସହ ଟେଲିଫୋନ ଯୋଗେ ବାର୍ତ୍ତାଳାପ କରିଛନ୍ତି ।,or
But they are here.,ମାତ୍ର ଏଠାରେ ସେମାନେ ଫଶିଗଲେ ।,or
On being informed the Shimlapuri Police reached the spot and initiated investigation.,ଖବର ପାଇ ସିମୁଳିଆ ପୁଲିସ୍ ଘଟଣାସ୍ଥଳରେ ପହଞ୍ଚି ତଦନ୍ତ ଆରମ୍ଭ କରିଛି।,or
(No description),(କୌଣସି ବର୍ଣ୍ଣନା ନାହିଁ),or
He said that he will approach High Court soon.,କହିଛନ୍ତି ଖୁବ୍‌ ଶୀଘ୍ର ସେ ହାଇକୋର୍ଟର ଦ୍ୱାରସ୍ଥ ହେବେ।,or
The injured have been admitted to hospital for medical treatment.,ଆହତମାନଙ୍କୁ ମେଡିକାଲରେ ଚିକିସôା ପାଇଁ ଭର୍ତ୍ତି କରାଯାଇଛି ।,or
The womans family had already known about this.,ଏହା ବିଷୟରେ ଯୁବତୀଙ୍କ ପରିବାର ଲୋକେ ଜାଣିଥିଲେ।,or
It is also resistant to water splashes and has IPX5 certification.,ଜଳ ପ୍ରତିରୋଧକ ପାଇଁ IPX5 ରେଟିଂ ମଧ୍ୟ ମିଳିଛି।,or
Police also seized a country-made gun and sharp weapons from him.,ଏଥିସହ ପୁଲିସ୍‌ ଗୋଟିଏ ଦେଶୀ ବନ୍ଧୁକ ସହ ବିପୁଳ ପରିମାଣର ବିସ୍ଫୋରକ ସାମଗ୍ରୀ ଜବତ କରିଛି।,or
"The BJP managed to lift its vote share in the state significantly, but failed to cross the finishing line.",ରାଜ୍ୟରେ ବିଜେପି ସଂଖ୍ୟା ଗରିଷ୍ଠତା ହାସଲ କରିଥିଲେ ମଧ୍ୟ ମ୍ୟାଜିକ୍‌ ନମ୍ବର ହାସଲ କରିବାରେ ବିଫଳ ହୋଇଛି।,or
Several journalists have also been injured.,ଏଥିରେ କିଛି ସାମ୍ବାଦିକ ବି ଆହତ ହୋଇଥିଲେ।,or
of November,ନଭେମ୍ୱର ର,or
"Nalini Chidambaram, Karti Chidambaram and his wife Srinidi Rangarajan casts their vote at a polling station in Karaikudi, Sivaganga.","ନଳିନୀ ଚିଦାମ୍ବରମ୍‌, କାର୍ତି ଚିଦାମ୍ବରମ୍‌ ଏବଂ ତାଙ୍କ ପତ୍ନୀ ଶ୍ରୀନିଧି ରଙ୍ଗରାଜନ ମଧ୍ୟ ଶିବଗଙ୍ଗାର କାରାଇକୁଡ଼ି ଭୋଟ୍‌ ଗ୍ରହଣ କେନ୍ଦ୍ରରେ ଭୋଟ୍‌ ଦେଇଛନ୍ତି।",or
"At the same time, we have to focus on economic growth and prosperity for 130 crore Indians.",ସ୍ୱାସ୍ଥ୍ୟରକ୍ଷା ନିୟମ ମାନିବା ସହିତ ଆମକୁ ଦେଶର 130 କୋଟି ଲୋକଙ୍କ ସମୃଦ୍ଧି ଏବଂ ଆର୍ଥିକ ଅଭିବୃଦ୍ଧି ଉପରେ ଗୁରୁତ୍ୱ ଦେବାକୁ ପଡିବ ।,or
The police said that efforts were being made to apprehend the remaining assailants.,ବାକି ଆତତାୟୀମାନଙ୍କୁ ଧରାଯିବାକୁ ଉଦ୍ୟମ କରାଯାଉଛି ବୋଲି ଜଣେ ପୁଲିସ ଅଧିକାରୀ କହିଛନ୍ତି।,or
Iran had no immediate reaction to the US announcement.,ତେବେ ଇରାନର ଆକ୍ରମଣ ଉପରେ ଆମେରିକା ପକ୍ଷରୁ କୌଣସି ପ୍ରତିକ୍ରିୟା ମିଳିନାହିଁ ।,or
Rupee has become Asias worst performing currency.,ଟଙ୍କାର ଏସିଆର ସବୁଠୁ ଖରାପ ପ୍ରଦର୍ଶନକାରୀ ମୁଦ୍ରାରେ ପରିଣତ ହୋଇଛି।,or
It is an important event for planning and execution process of the Indian Army.,ଭାରତୀୟ ସେନାର ନୀତି ନିର୍ଦ୍ଧାରଣ ଏବଂ ପ୍ରଣୟନ ପାଇଁ ଏହା ଏକ ଗୁରୁତ୍ୱପୂର୍ଣ୍ଣ ପ୍ରକ୍ରିୟା ।,or
The treatment of the illness is possible.,ଏହି ରୋଗର ଚିକିତ୍ସା ସମ୍ଭବ।,or
"After the incident, police arrived at the spot and started investigations.",ଏହି ଘଟଣା ପରେ ପୁଲିସ ମଦ୍ରାସାରେ ପହଞ୍ଚି ତଦନ୍ତ ଚଳାଇଛନ୍ତି।,or
The BCCI will be represented by its president Sourav Ganguly at the meeting.,ବିସିସିଆଇର ସଭାପତି ସୌରଭ ଗାଙ୍ଗୁଲି ବୈଠକରେ ଅଧ୍ୟକ୍ଷତା କରିବେ।,or
"For farmers, water is an important issue.",ଚାଷୀଙ୍କ ପାଇଁ ପାଣି ମୂଲ୍ୟବାନ ।,or
Several cultural programmes were organised during the nine-day Rath Yatra.,ନଅ ଦିନର ଏହି ଆଧ୍ୟାତ୍ମିକ ବାତାବରଣ ମଧ୍ୟରେ ବିଭିନ୍ନ କାର୍ଯ୍ୟକ୍ରମର ଆୟୋଜନ କରାଯାଇଥିଲା।,or
Do this immediately,ତେବେ ନଡରି ତୁରନ୍ତ କରନ୍ତୁ ଏହି କାମ,or
"Along with this, it helps in reducing weight.",ଏହା ବ୍ୟତୀତ ଓଜନ କମାଇବାରେ ସାହାଯ୍ୟ କରିଥାଏ।,or
Action has been taken against him.,ଆଉ ସେଥିପାଇଁ ତାଙ୍କ ବିରୋଧରେ ହୋଇଛି କାର୍ଯ୍ୟାନୁଷ୍ଠାନ ।,or
They are very hardworking.,ଏମାନେ ବହୁତ ପରିଶ୍ରମୀ ହେଇଥାନ୍ତି ।,or
Others aren't as pleased.,ଆଉ କେତେକ ଏହାକୁ ଭଲ ପାଆନ୍ତି ନାହିଁ।,or
The BJP has a majority in Parliament.,ବିଧାନସଭାରେ ବହୁମତ ବିଜେପି ସାବ୍ୟସ୍ତ କରିବ।,or
Taliban free 3 Indian hostages in exchange for 11 of its leaders,୧୧ ଜଣ ଆତଙ୍କବାଦୀଙ୍କ ବଦଳରେ ୩ ଜଣ ଭାରତୀୟଙ୍କୁ ଛାଡ଼ିଲା ତାଲିବାନ,or
Trailer of the film was released earlier.,ପୂର୍ବରୁ ଫିଲ୍ମର ଟ୍ରେଲର ରିଲିଜ୍ ହୋଇଥିଲା ।,or
But he has no regrets about that.,କିନ୍ତୁ ସେଥିରେ ବି ତାଙ୍କର ତିଳେମାତ୍ର ଦୁଃଖ ନାହିଁ ।,or
The devotees keep fast in this month.,ଏଇ ମାସରେ ଭକ୍ତମାନେ ଉପାସ କରିବା ସହ ପୂଜା କରିଥାନ୍ତି ।,or
"The districts are Malkangiri, Koraput, Nabarangpur,Nuapada, Kalahandi, Rayagada,Gajapati, Kandhamal, Ganjam, Nayagarh, Jajpur, Mayurbhanj, Keonjhar,Deogarh, Sambalpur, Sundargarh, Dhenkanal, Balangir and Bargarh.","ମାଲକାନଗିରି, କୋରାପୁଟ, ନବରଙ୍ଗପୁର, କଳାହାଣ୍ଡି, ରାୟଗଡ଼ା, ଗଜପତି ଗଞ୍ଜାମ, କନ୍ଧମାଳ,ସୁନ୍ଦରଗଡ଼, କେନ୍ଦୁଝର, ମୟୂରଭଞ୍ଜ, ବାଲେଶ୍ୱର, ଭଦ୍ରକ, ଯାଜପୁର, କେନ୍ଦ୍ରାପଡ଼ା ଓ ନୟାଗଡ଼ ଜିଲ୍ଲାର ଗୋଟିଏ ଦୁଇଟି ସ୍ଥାନରେ କାଳବୈଶାଖୀ ଜନିତ ବର୍ଷା ଓ ବଜ୍ରପାତର ଆଶଙ୍କା ରହିଥିବା ନେଇ ସତର୍କ ସୂଚନା ଜାରି କରିଛି ଭୁବନେଶ୍ୱର ସ୍ଥିତ ଆଞ୍ଚଳିକ ପାଣିପାଗ କେନ୍ଦ୍ର।",or
"I also suggest that the major industry bodies of the country should create a common platform for defence manufacturing so that they can take advantage of both the development and production of technology in the field of defence, Prime Minister added.",ଦେଶର ପ୍ରମୁଖ ଶିଳ୍ପ ସଂସ୍ଥା ପ୍ରତିରକ୍ଷା ସାମଗ୍ରୀ ନିର୍ମାଣ ପାଇଁ ଏକ ମିଳିତ ମଞ୍ଚ ପ୍ରସ୍ତୁତ କରି ପ୍ରତିରକ୍ଷା କ୍ଷେତ୍ରରେ ପ୍ରଯୁକ୍ତି ବିକାଶ ଓ ଉତ୍ପାଦନ ଉଭୟର ଲାଭ ଉଠାନ୍ତୁ ବୋଲି ମୋର ପରାମର୍ଶ ବୋଲି ପ୍ରଧାନମନ୍ତ୍ରୀ କହିଛନ୍ତି ।,or
But it is not transparent.,କିନ୍ତୁ ଏଥିରେ ସ୍ଵଚ୍ଛତା ପରିଲକ୍ଷିତ ହେଉନାହିଁ।,or
He has been eluding the police for a long time.,ସେ ଦୀର୍ଘ ଦିନ ଧରି ପୁଲିସକୁ ଚକ୍‌ମା ଦେଇ ଫେରାର ଥିଲା।,or
"As per provisions of the Inter-State River Water Disputes (ISRWD) Act, 1956, the Tribunal shall consist of a Chairman and two other Members nominated by the Chief Justice of India from amongst the Judges of the Supreme Court or High Court.",ସୁପ୍ରିମକୋର୍ଟ କିମ୍ବା ହାଇକୋର୍ଟର ବିଚାରପତିଙ୍କ ମଧ୍ୟରୁ ଟ୍ରିବ୍ୟୁନାଲର ଅଧ୍ୟକ୍ଷ ଏବଂ ସଦସ୍ୟମାନଙ୍କୁ ଭାରତର ପ୍ରଧାନ ବିଚାରପତି ମନୋନୀତ କରିବେ ।,or
The police and the fire brigade personnel reached the spot and doused the flames with the help of local people.,ଘଟଣାସ୍ଥଳରେ ପୋଲିସ ଏବଂ ଅଗ୍ନିଶମ ବିଭାଗ କର୍ମଚାରୀ ପହଞ୍ଚି ସ୍ଥାନୀୟଲୋକଙ୍କ ସହାୟତାରେ ଉଦ୍ଧାର କାର୍ଯ୍ୟ ଜାରି ରଖିଛନ୍ତି।,or
Income will increase.,ଆୟରେ ବୃଦ୍ଧି ହେବ।,or
"Following information, police rushed to the spot and admitted the injured to the hospital.",ଖବର ପାଇ ପୁଲିସ ଘଟଣାସ୍ଥଳରେ ପହଞ୍ଚି ମୃତାହତମାନଙ୍କୁ ଉଦ୍ଧାର କରି ଡାକ୍ତରଖାନାରେ ଭର୍ତ୍ତି କରିଛନ୍ତି।,or
You do know this?,ଆପଣ ଏହା ଜାଣିଛନ୍ତି କି ?,or
However talks broke down in recent days.,ଏହି ଚର୍ଚ୍ଚାର କିନ୍ତୁ ଗତ କିଛିଦିନ ହେଲା ଭଟ୍ଟା ପଡିଛି।,or
"Prime Minister of India and President of Maldives held Official talks on 17 December 2018 in an extremely warm, cordial and friendly atmosphere reflective of the special relationship between the two countries.","ଭାରତର ପ୍ରଧାନମନ୍ତ୍ରୀ ଏବଂ ମାଳଦ୍ୱୀପର ରାଷ୍ଟ୍ରପତି 17 ଡିସେମ୍ବର, 2018ରେ ସଦଭାବ ଏବଂ ବନ୍ଧୁତାପୂର୍ଣ୍ଣ ପରିବେଶରେ ଅଧିକାରୀକ ଆଲୋଚନା କରିଥିଲେ । ଉଭୟ ନେତାଙ୍କ ମଧ୍ୟରେ ଏହି ଆଲୋଚନା ଦୁଇ ଦେଶ ମଧ୍ୟରେ ସ୍ୱତନ୍ତ୍ର ସମ୍ପର୍କକୁ ଦର୍ଶାଉଛି ।",or
"The previous best record was jointly shared by India vice-captain Rohit Sharma, West Indies great Chris Gayle and former South African captain AB de Villiers.","ଏକଦିବସୀୟ ମ୍ୟାଚରେ ସର୍ବାଧିକ ଛକା ମାରିବାରେ ସେ ଭାରତର ରୋହିତ ଶର୍ମା, ଓ୍ବେଷ୍ଟଇଣ୍ଡିଜର କ୍ରିସ୍‌ ଗେଲ ଓ ଦକ୍ଷିଣ ଆଫ୍ରିକାର ପୂର୍ବତନ ବ୍ୟାଟ୍ସମ୍ୟାନ ଏବି ଡିଭିଲର୍ସଙ୍କୁ ପଛରେ ପକାଇଛନ୍ତି।",or
"50, 100 Oxo-biodegradable Sanitary Napkin under the Pradhan Mantri Bhartiya Janaushadhi Pariyojana (PMBJP) Swachhta, Swasthya and Suvidha are the touchstones that this product will ensure for the underprivileged Women of India: Shri Ananthkumar Union Minister for Chemicals Fertilizers and Parliamentary Affairs, Shri Ananthkumar announced the launch of Suvidha, the 100 Oxo-biodegradable Sanitary Napkin, under the Pradhan Mantri Bhartiya Janaushadhi Pariyojana (PMBJP), here today.","ରସାୟନ ଓ ସାର ମନ୍ତ୍ରଣାଳୟ ସରକାର ପ୍ରଧାନମନ୍ତ୍ରୀ ଭାରତୀୟ ଜନ-ଔଷଧି ପରିଯୋଜନା ଅଧୀନରେ 2.50 କୋଟିର ଶତକଡା 100 ପ୍ରତିଶତ ଅକ୍ସୋ-ବାୟୋଡିଗ୍ରେଡେବୁଲ ସାନିଟାରୀ ନାପକିନ ସୁବିଧାର ଶୁଭାରମ୍ଭ କଲେ ଭାରତର ବଞ୍ଚିତ ମହିଳାମାନଙ୍କ ପାଇଁ ଏହି ଉତ୍ପାଦ ‘ସ୍ୱଚ୍ଛତା, ସ୍ୱାସ୍ଥ୍ୟ ଏବଂ ସୁବିଧା’ ଆଦି ସୁନିଶ୍ଚିତ କରିବ: ଶ୍ରୀ ଅନନ୍ତ କୁମାର କେନ୍ଦ୍ରୀୟ ରସାୟନ ଓ ଉର୍ବରକ ଏବଂ ସଂସଦୀୟ ମନ୍ତ୍ରୀ ଶ୍ରୀ ଅନନ୍ତ କୁମାର ଆଜି ଏଠାରେ ପ୍ରଧାନମନ୍ତ୍ରୀ ଭାରତୀୟ ଜନ-ଔଷଧି ପରିଯୋଜନା (PBP) ଅନ୍ତର୍ଗତ ଶତକଡା 100 ପ୍ରତିଶତ ଅକ୍ସୋ-ବାୟୋଡିଗ୍ରେଡେବୁଲ ସାନିଟାରୀ ନାପକିନ ସୁବିଧା ଶୁଭାରମ୍ଭର ଘୋଷଣା କରିଛନ୍ତି ।",or
So the Government of India has taken up this issue in a mission mode and it will benefit in the coming days.,ତ ଆଜି ଭାରତ ସରକାର ଏହି କାମଟିକୁ ମିଶନ ମୋଡରେ ଉଠାଇଛନ୍ତି । ଆଉ ଆଗାମୀ ଦିନ ମାନଙ୍କରେ ଏହାର ଲାଭ ମିଳିବ ।,or
How craven!,କେତେ ଧାଇଁଥାନ୍ତା!,or
"Earlier, Odisha won the toss and elected to bat first.",ଏହି ମ୍ୟାଚ୍‌ରେ ଓଡ଼ିଶା ଟସ୍‌ ଜିତି ପ୍ରଥମେ ବ୍ୟାଟି˚ କରିଥିଲା।,or
But this doesnt work very well.,କିନ୍ତୁ ତାହା ବିଶେଷ ଫଳପ୍ରଦ ହୋଇପାରୁନାହିଁ।,or
All districts will have infectious diseases block in hospitals.,ସବୁ ଜିଲ୍ଲା ମେଡିକାଲରେ ସଂକ୍ରମଣ ରୋଗ ବ୍ଲକ ହେବ ।,or
It is suspected that the boy was murdered.,ଯୁବକଙ୍କୁ ହତ୍ୟା କରାଯାଇଥିବା ସନ୍ଦେହ କରାଯାଉଛି।,or
Such remarks are not acceptable in democracy.,ଗଣତନ୍ତ୍ରରେ ଏପରି ଔଦ୍ଧତାମି ଆଦୌ ଗ୍ରହଣୀୟ ନୁହେଁ।,or
The Chief Minister is silent on the issue.,ଘଟଣାକୁ ନେଇ ମୁଖ୍ୟମନ୍ତ୍ରୀ ନିରବ ରହିଛନ୍ତି।,or
Batty refused.,” ବଣ୍ଟି ମନା କଲା ।,or
The country is proud of you.,ଦେଶ ଆପଣମାନଙ୍କ ପାଇଁ ଗର୍ବିତ।,or
The state Government is worried.,ଫଳରେ ସରକାର ଚିନ୍ତାରେ ପଡ଼ିଛନ୍ତି ।,or
"A case has been registered at the Govindpuri police station and the body has been handed over to the family after a post-mortem, the police said.",ପୁଲିସ୍ ଘଟଣାସ୍ଥଳରୁ ମୃତ ଦେହ ଜବତ କରି ପୋଷ୍ଟମର୍ଟମ୍ ପାଇଁ ପଠାଇଥିବା ବେଳେ ଗୋବିନ୍ଦପୁର ଥାନାରେ ଏକ ଅପମୃତୁ୍ୟ ମାମଲା ରୁଜୁ ହୋଇଛି ।,or
The Vitamin E works as an anti-oxidant to keep the skin nourished.,କଦଳୀରେ ଥିବା ଭିଟାମିନ୍‌ ଇ ତ୍ୱଚା ପାଇଁ ସୁରକ୍ଷା କବଚ ଭଳି କାମ କରିଥାଏ।,or
A gunfight ensued between the shooter and police.,ଏହି ସମୟରେ ପୁଲିସ ଓ ମାଓବାଦୀଙ୍କ ମଧ୍ୟରେ ଗୁଳି ବିନିମୟ ଘଟିଥିଲା ।,or
Police have detained the accused and are interrogating him.,ପୁଲିିସ ଅଭିଯୁକ୍ତକୁ ଅଟକ ରଖି ପଚରାଉଚୁରା କରୁଛି।,or
The country is in a financial mess.,ଦେଶରେ ଆର୍ଥିକ ମାନ୍ଦାବସ୍ଥା ଦେଖାଦେଇଛି ।,or
"Then, add powdered sugar and mix well.",ତା’ପରେ ହାଲୱାରେ ଚିନି ପାକଇ ଭଲଭାବେ ଗୋଳାଇ ଦିଅନ୍ତୁ।,or
But no death has been reported so far.,ମାତ୍ର ଏଯାବତ ଜୀବନହାନୀ ନେଇ କୌଣସି ସ୍ପଷ୍ଟ ସୂଚନା ମିଳିନାହିଁ।,or
"New Delhi/Washington: Prime Minister Narendra Modi and US President Donald Trump have resolved to fight against the global scourge of terrorism together, the White House said after Modi offered his condolences to Trump over phone following the New York terror attack.",ଓ୍ଵାସିଂଟନ୍‌: ନିୟୁୟର୍କ ଟ୍ରକ୍‌ ଆକ୍ରମଣ ଯୋଗୁଁ ମୋଦି ଫୋନ୍‌ ଯୋଗେ ଟ୍ରମ୍ପଙ୍କୁ ନିଜର ଶୋକବାର୍ତ୍ତା ଜଣାଇବା ପରେ ବିଶ୍ୱ ଆତଙ୍କବାଦ ବିରୋଧରେ ଲଢ଼ିବା ପାଇଁ ଭାରତର ପ୍ରଧାନମନ୍ତ୍ରୀ ନରେନ୍ଦ୍ର ମୋଦି ଏବଂ ଆମେରିକୀୟ ରାଷ୍ଟ୍ରପତି ଡୋନାଲ୍‌ଡ୍‌ ଟ୍ରମ୍ପ୍‌ ପଣ କରିଛନ୍ତି ବୋଲି ହ୍ଵାଇଟ୍‌ ହାଉସ୍‌ କହିଛି।,or
Current Locale,ପ୍ରଚଳିତ ଲୋକେଲ,or
Police rushed to the area and arrested the accused.,ପୋଲିସ ସ୍ଥାନୀୟ ଆଖଣ୍ଡଳମଣୀ ବସ୍ତିରେ ଚଢଉ କରି ଅଭିଯୁକ୍ତକୁ ଗିରଫ କରିଛି ।,or
AICC general secretary and Odisha in-charge Jeetendra Singh and senior party leader from Chhattisgarh TS Singh Deo attended the meeting.,"ଏହି ତାରକା ପ୍ରଚାରକ ତାଲିକାରେ ଏଆଇସିସି ସାଧାରଣ ସଂପାଦକ ତଥା ଓଡିଶା କଂଗ୍ରେସ ପ୍ରଭାରୀ ଶ୍ରୀ ଜିତେନ୍ଦ୍ର ସିଂ, ଛତିଶଗଡର ସ୍ୱାସ୍ଥ୍ୟମନ୍ତ୍ରୀ ତଥା ଓଡିଶା କଂଗ୍ରେସର ଅତିରିକ୍ତ ପ୍ରଭାରୀ ଶ୍ରୀ …",or
till a known term decreed?,ஒரு குறிப்பிடட (கால) அளவு வரை.,ta
Police reached the spot immediately and took him into custody.,பொலிசார் உடனடியாக சம்பவயிடத்திற்கு விரைந்து அவரை கைது செய்துள்ளனர்.,ta
01 lakh.,01 லட்சம்.,ta
Do you not feel ashamed?,"""""""இப்படி அழுவதற்கு உனக்கு வெட்கமாயில்லை?""",ta
At that time...,அந்த சமயத்தில் எதிரே .,ta
Increase body power.,உடல் வலு அதிகரிக்கும்.,ta
